"","Latitude","Longitude"
"3",-41.3929955555556,-71.5632355555556
"4",-41.4048,-71.5752533333333
"5",-41.4062933333333,-71.5780266666667
"6",-41.4143288888889,-71.5604622222222
"7",-41.4062933333333,-71.5731911111111
"8",-41.4087822222222,-71.5735466666667
"9",-41.3948444444444,-71.5739733333333
"10",-41.4065777777778,-71.57056
"11",-41.4070044444444,-71.5703466666667
"12",-41.4070044444444,-71.5703466666667
"13",-41.4066488888889,-71.5702044444444
"14",-41.4042311111111,-71.57056
"15",-41.4039466666667,-71.5700622222222
"16",-41.4038755555556,-71.5696355555555
"17",-41.4039466666667,-71.5697066666667
"18",-41.4036622222222,-71.5697777777778
"19",-41.4036622222222,-71.5695644444444
"20",-41.40224,-71.5675733333333
"21",-41.4014577777778,-71.5661511111111
"22",-41.4030222222222,-71.5677155555556
"23",-41.4034488888889,-71.5683555555556
"24",-41.4038044444444,-71.5689244444444
"25",-41.4037333333333,-71.5694222222222
"26",-41.4036622222222,-71.56928
"27",-41.4037333333333,-71.5694933333333
"28",-41.4036622222222,-71.5693511111111
"29",-41.4038044444444,-71.5691377777778
"30",-41.4038044444444,-71.5691377777778
"31",-41.4039466666667,-71.5689244444444
"32",-41.40416,-71.5687111111111
"33",-41.40416,-71.5689244444444
"34",-41.4040177777778,-71.5688533333333
"35",-41.4039466666667,-71.5687822222222
"36",-41.40416,-71.5689955555555
"37",-41.4040888888889,-71.5687111111111
"38",-41.4040888888889,-71.5687822222222
"39",-41.4040888888889,-71.5688533333333
"40",-41.4040177777778,-71.5685688888889
"41",-41.4040888888889,-71.5689244444444
"42",-41.4039466666667,-71.5689244444444
"43",-41.4040888888889,-71.5689244444444
"44",-41.40416,-71.5687822222222
"45",-41.4038755555556,-71.5684977777778
"46",-41.4030222222222,-71.56864
"47",-41.4018844444444,-71.5689244444444
"48",-41.4018844444444,-71.5689955555555
"49",-41.4011022222222,-71.5697777777778
"50",-41.4001777777778,-71.5709866666667
"51",-41.3999644444444,-71.5707733333333
"52",-41.4005333333333,-71.5708444444444
"53",-41.40032,-71.5707733333333
"54",-41.4006044444444,-71.5710577777778
"55",-41.40032,-71.5706311111111
"56",-41.40032,-71.5714133333333
"57",-41.4005333333333,-71.5708444444444
"58",-41.4005333333333,-71.5706311111111
"59",-41.4005333333333,-71.5713422222222
"60",-41.3997511111111,-71.5712
"61",-41.3991822222222,-71.5711288888889
"62",-41.3996088888889,-71.5719822222222
"63",-41.4002488888889,-71.57312
"64",-41.4000355555556,-71.57248
"65",-41.3971911111111,-71.5735466666667
"66",-41.3981155555556,-71.5739022222222
"67",-41.3976888888889,-71.5726933333333
"68",-41.3976177777778,-71.5728355555556
