,Parcela,Fecha,Dia,Mes,Año,Càmara,Latitud,Longitud,Altura,Pendiente,Orientación,Aspect,Ambiente,Cobertura.TOTAL,Grado.ramoneo,Total_ramoneadas,proporcion,Riqueza,bostas,Forraje..altura.,Pasto,Troncos.caidos,Altura.de.tronco,Roca,Suelo.desnudo,Distancia.a.picada,X.utm,Y.utm,x,y,std_elevation,std_slope,sqr.Altura,sqr.Pendiente,std_sqr.elevation,std_sqr.slope,std_rocks,std_grass,std_soil,std_distance,li,x,y
99,DIF 3,,15,2,2014,,-41.3882,-71.6821,1455,2,SE,140,forest,60,2,4,0.3636363636,11,1,4,1,1,15,0,2,1,275749.487654306,5414675.99283827,-71.6821,-41.3882,0.5872689262,-0.9043474807,2117025,4,0.51360518,-0.6753304048,-0.3411170978,-0.4847677715,-0.7316248466,-1.0138783156,-1.1279397435,-39.5967773756,6.9652060596
100,DIF 4,,15,2,2014,,-41.3879,-71.6818,1458,25,s ,190,forest,50,1,3,0.2727272727,11,0,NA,0,15,40,0,5,20,275773.541432355,5414710.07949622,-71.6818,-41.3879,0.5998741385,1.2921622406,2125764,625,0.5271771047,1.0951156456,-0.3411170978,-0.5475238245,-0.5144040445,0.5213428345,0.4831318232,-28.5547739319,-21.1580094459
101,DIF 5,,15,2,2014,,-41.3921,-71.6794,1424,1,SE,140,matorral,70,3,0,0,4,2,2,40,3,10,0,15,20,275988.654669067,5414249.95521979,-71.6794,-41.3921,0.4570150654,-0.9998479034,2027776,1,0.3749988518,-0.6838832843,-0.3411170978,1.9627182944,0.209665296,0.5213428345,-0.6785596382,5.6091612134,-13.6155037451
102,DIF 6,,15,2,2014,,-41.3924,-71.6795,1413,0,,,abierto,90,3,3,0.75,3,5,2,70,NA,NA,0,3,7,275981.324158397,5414216.38673001,-71.6795,-41.3924,0.4107959536,-1.0953483261,1996569,0,0.3265334607,-0.6867342441,-0.3411170978,3.8453998835,-0.6592179126,-0.5290716366,0.6534999155,7.8843705559,-26.67609307
103,DIF 7,,15,2,2014,,-41.3966,-71.6737,1361,2,NE,50,forest,60,2,3,0.2727272727,11,1,NA,0,4,30,0,8,1,276480.676073334,5413765.04086251,-71.6737,-41.3966,0.1923056065,-0.9043474807,1852321,4,0.102512064,-0.6753304048,-0.3411170978,-0.5475238245,-0.2971832423,-1.0138783156,-0.9180429125,-43.0104259423,2.7425101704
104,DIF 8,,15,2,2014,,-41.3969,-71.6743,1374,35,NE,60,forest,40,1,3,0.3333333333,9,0,15,3,NA,NA,20,10,20,276431.540752753,5413730.18183408,-71.6743,-41.3969,0.2469281932,2.2471664673,1887876,1225,0.1577300272,2.8056915396,0.9924284971,-0.3592556656,-0.1523693742,0.5213428345,1.0066928586,-35.9217558545,-15.0038626269
105,DIF 9,,15,2,2014,,-41.3993,-71.6695,1328,5,NE,25,forest,50,2,1,0.0714285714,14,0,NA,0,3,20,0,10,10,276841.06851118,5413476.08827109,-71.6695,-41.3993,0.0536482708,-0.6178462127,1763584,25,-0.0352991132,-0.6154602485,-0.3411170978,-0.5475238245,-0.1523693742,-0.2866682971,0.9523604714,-38.6741994957,18.4580378226
106,JN 1,,13,1,2013,,-41.3906,-71.5836,1261,3,E,,forest,60,1,2,0.1666666667,12,1,NA,0,10,50,0,10,10,283993.751684384,5414659.92602928,-71.5836,-41.3906,-0.2278681379,-0.8088470581,1590121,9,-0.3046922663,-0.6610756057,-0.3411170978,-0.5475238245,-0.1523693742,-0.2866682971,,,
107,JN 10,,15,1,2013,,-41.3762,-71.6026,1642,15,SE,,alto_andino,70,2,1,0.0909090909,11,0,8,20,NA,NA,0,10,1,282357.039970243,5416211.20762977,-71.6026,-41.3762,1.3729938282,0.3371580139,2696164,225,1.4130251214,-0.0452682838,-0.3411170978,0.7075972349,-0.1523693742,-1.0138783156,,,
108,JN 11,,15,1,2013,,-41.376,-71.6179,1592,35,SE,,forest,60,0,NA,0,9,0,NA,1,1,10,0,40,30,281076.789792354,5416194.85450372,-71.6179,-41.376,1.162906956,2.2471664673,2534464,1225,1.1619002541,2.8056915396,-0.3411170978,-0.4847677715,2.0198386471,1.3293539661,,,
109,JN 12,,15,1,2013,,-41.3766,-71.6168,1566,30,SE,,forest,80,1,2,0.1818181818,11,0,NA,0,2,25,0,20,30,281170.798594935,5416131.0153634,-71.6168,-41.3766,1.0536617824,1.7696643539,2452356,900,1.0343841093,1.879129597,-0.3411170978,-0.5475238245,0.5716999662,1.3293539661,,,
110,JN 13,,15,1,2013,,-41.3789,-71.6149,1500,10,SE,,forest,70,1,2,0.1818181818,11,1,NA,0,2,20,0,10,2,281337.409165385,5415880.44149024,-71.6149,-41.3789,0.7763471112,-0.1403440994,2250000,100,0.7201192754,-0.4016382617,-0.3411170978,-0.5475238245,-0.1523693742,-0.9330772024,,,
111,JN 14,,15,1,2013,,-41.3795,-71.6134,1565,5,s ,,forest,60,1,1,0.0666666667,15,0,NA,2,3,35,0,10,20,281464.863012466,5415817.60858863,-71.6134,-41.3795,1.049460045,-0.6178462127,2449225,25,1.029521574,-0.6154602485,-0.3411170978,-0.4220117185,-0.1523693742,0.5213428345,,,
112,JN 15,,16,1,2013,,-41.3868,-71.6029,1500,0,,,forest,NA,1,2,0.25,8,0,5,5,NA,NA,0,10,10,282367.320192171,5415033.5199687,-71.6029,-41.3868,0.7763471112,-1.0953483261,2250000,0,0.7201192754,-0.6867342441,-0.3411170978,-0.2337435596,-0.1523693742,-0.2866682971,,,
113,JN 16,,16,1,2013,,-41.3841,-71.6024,1515,3,s ,,forest,NA,1,4,0.65,3,0,3,5,5,10,0,5,20,282400.121350152,5415334.56163114,-71.6024,-41.3841,0.8393731728,-0.8088470581,2295225,9,0.7903550338,-0.6610756057,-0.3411170978,-0.2337435596,-0.5144040445,0.5213428345,,,
114,JN 2,,13,1,2013,,-41.3909,-71.5876,1310,8,NE,,forest,90,2,4,0.3636363636,11,2,NA,0,5,20,0,0,30,283660.291337449,5414616.63040666,-71.5876,-41.3909,-0.0219830031,-0.3313449447,1716100,64,-0.1090431651,-0.5042728154,-0.3411170978,-0.5475238245,-0.8764387147,1.3293539661,,,
115,JN 3,,13,1,2013,,-41.3902,-71.5791,1103,30,E,,quemado,65,3,2,0.125,16,1,NA,5,20,40,0,10,2,284368.691430887,5414715.55453486,-71.5791,-41.3902,-0.891742654,1.7696643539,1216609,900,-0.8847674143,1.879129597,-0.3411170978,-0.2337435596,-0.1523693742,-0.9330772024,,,
116,JN 4,,15,1,2013,,-41.3857,-71.589,1385,30,E,,forest,40,1,2,0.1818181818,11,1,NA,0,3,10,0,5,30,283525.971514403,5415190.49505577,-71.589,-41.3857,0.2931473051,1.7696643539,1918225,900,0.204862919,1.879129597,-0.3411170978,-0.5475238245,-0.5144040445,1.3293539661,,,
117,JN 5,,15,1,2013,,-41.3928,-71.6157,1680,20,,,alto_andino,35,0,NA,0,8,0,NA,0,NA,NA,65,10,5,281317.119718182,5414335.08077583,-71.6157,-41.3928,1.532659851,0.8146601273,2822400,400,1.6090733511,0.4536496853,3.9929060855,-0.5475238245,-0.1523693742,-0.6906738629,,,
118,JN 6,,15,1,2013,,-41.393,-71.6156,1662,15,,,alto_andino,70,1,1,0.0833333333,12,0,10,40,NA,NA,15,2,5,281326.151625044,5414313.12697821,-71.6156,-41.393,1.457028577,0.3371580139,2762244,225,1.5156493095,-0.0452682838,0.6590420983,1.9627182944,-0.7316248466,-0.6906738629,,,
119,JN 7,,15,1,2013,,-41.3959,-71.6189,1752,30,,,alto_andino,10,0,NA,0,5,0,NA,1,NA,NA,70,20,10,281059.973779314,5413982.79486123,-71.6189,-41.3959,1.835184947,1.7696643539,3069504,900,1.9928331483,1.879129597,4.3262924842,-0.4847677715,0.5716999662,-0.2866682971,,,
120,JN 8,,15,1,2013,,-41.3979,-71.6235,1740,30,SW,,alto_andino,60,1,1,0.2,5,0,10,3,NA,NA,10,15,2,280682.108243677,5413749.08818255,-71.6235,-41.3979,1.7847640976,1.7696643539,3027600,900,1.9277550008,1.879129597,0.3256556996,-0.3592556656,0.209665296,-0.9330772024,,,
121,JN 9,,15,1,2013,,-41.3936,-71.6164,1698,30,NE,,alto_andino,50,1,2,0.1818181818,11,1,3,5,NA,NA,40,10,5,281261.275701327,5414244.48710639,-71.6164,-41.3936,1.608291125,1.7696643539,2883204,900,1.7035037557,1.879129597,2.3259740919,-0.2337435596,-0.1523693742,-0.6906738629,,,
122,K1,,25,1,2014,,-41.4036,-71.5724,969,3,SE,,abierto,85,2,6,0.4615384615,13,2,17,10,NA,NA,0,2,30,284973.109371652,5413244.39696126,-71.5724,-41.4036,-1.4547754714,-0.8088470581,938961,9,-1.315962944,-0.6610756057,-0.3411170978,0.0800367052,-0.7316248466,1.3293539661,1.0595434557,32.4856618822,3.6448378173
123,K2,,25,1,2014,,-41.4048,-71.5705,966,1,,,forest,85,1,5,0.75,5,1,20,15,NA,NA,0,0,15,285135.899885528,5413115.87689599,-71.5705,-41.4048,-1.4673806838,-0.9998479034,933156,1,-1.3249782801,-0.6838832843,-0.3411170978,0.3938169701,-0.8764387147,0.1173372687,0.9752227288,25.0167033249,23.5921710588
124,K3,,26,1,2014,,-41.4095,-71.5704,975,0,,,forest,60,2,4,0.4,10,0,21,15,10,22,0,5,15,285159.754148162,5412594.2769427,-71.5704,-41.4095,-1.4295650468,-1.0953483261,950625,0,-1.2978484081,-0.6867342441,-0.3411170978,0.3938169701,-0.5144040445,0.1173372687,0.630262719,21.2810745963,27.8355726415
125,K4,,27,1,2014,,-41.4053,-71.5751,974,1,E,,abierto,95,2,3,0.25,12,1,10,50,NA,NA,0,5,30,284753.011571208,5413048.93323648,-71.5751,-41.4053,-1.4337667842,-0.9998479034,948676,1,-1.3008752625,-0.6838832843,-0.3411170978,2.5902788241,-0.5144040445,1.3293539661,0.8347953817,29.0103183808,-8.2018537805
126,LC 1,,3,3,2013,,-41.4043,-71.5506,1288,30,SW,,quemado,65,2,1,0.0833333333,12,2,NA,3,8,25,0,40,5,286797.814211091,5413220.59480071,-71.5506,-41.4043,-0.1144212269,1.7696643539,1658944,900,-0.1978081182,1.879129597,-0.3411170978,-0.3592556656,2.0198386471,-0.6906738629,,,
127,LC 2,,3,3,2013,,-41.4073,-71.5399,1581,20,W,,forest,90,0,NA,0,11,0,NA,0,NA,NA,10,10,30,287702.063724363,5412913.79839914,-71.5399,-41.4073,1.1166878441,0.8146601273,2499561,400,1.1076948661,0.4536496853,0.3256556996,-0.5475238245,-0.1523693742,1.3293539661,,,
128,LC 3,,3,3,2013,,-41.4076,-71.5401,1573,25,SW,230,forest,100,0,NA,0,7,0,NA,0,1,30,0,20,30,287686.322658604,5412879.99851431,-71.5401,-41.4076,1.0830739445,1.2921622406,2474329,625,1.0685088262,1.0951156456,-0.3411170978,-0.5475238245,0.5716999662,1.3293539661,,,
129,LR 1,,7,1,2013,,-41.4095,-71.64,1203,20,SW,240,forest,80,1,3,0.2307692308,13,1,NA,0,20,60,0,0,0,279341.903673544,5412419.18329633,-71.64,-41.4095,-0.4715689096,0.8146601273,1447209,400,-0.5266388157,0.4536496853,-0.3411170978,-0.5475238245,-0.8764387147,-1.0946794287,0.0716705191,-49.6805386251,25.1355708414
130,LR 2,,7,1,2013,,-41.4118,-71.639,1167,10,SW,220,forest,30,2,3,0.75,4,1,NA,0,10,30,0,0,1,279433.279530616,5412166.35780569,-71.639,-41.4118,-0.6228314576,-0.1403440994,1361889,100,-0.6591432911,-0.4016382617,-0.3411170978,-0.5475238245,-0.8764387147,-1.0138783156,0.7628483997,-46.4957532802,24.8828192101
131,LR 3,,8,1,2013,,-41.404,-71.6349,1291,10,SE,,forest,30,2,1,0.1666666667,6,2,NA,0,10,20,0,0,0,279749.625354416,5413042.84981102,-71.6349,-41.404,-0.1018160146,-0.1403440994,1666681,100,-0.1857923291,-0.4016382617,-0.3411170978,-0.5475238245,-0.8764387147,-1.0946794287,-0.5323626282,-44.7822527772,33.5387744364
132,LR 4,,8,1,2013,,-41.4026,-71.6471,1350,10,SE,,forest,85,1,1,0.0625,16,0,NA,0,20,90,10,0,0,278724.986806965,5413167.18164866,-71.6471,-41.4026,0.1460864946,-0.1403440994,1822500,100,0.0561991718,-0.4016382617,0.3256556996,-0.5475238245,-0.8764387147,-1.0946794287,0.6756807634,-45.1654036685,5.5070859302
133,LR 5,,8,1,2013,,-41.4013,-71.6466,1432,2,N,,forest,80,0,NA,0,7,1,NA,0,5,30,0,0,3,278762.373739328,5413312.80159025,-71.6466,-41.4013,0.490628965,-0.9043474807,2050624,4,0.4104824694,-0.6753304048,-0.3411170978,-0.5475238245,-0.8764387147,-0.8522760892,1.0525203453,-24.4892767454,-26.6953073031
134,LS 10,,4,9,2014,,-41.3788,-71.5655,911,5,NW,340,quemado,40,2,2,0.2,10,1,2,50,5,10,0,5,0,285468.351991889,5416015.08732138,-71.5655,-41.3788,-1.6984762432,-0.6178462127,829921,25,-1.4853052787,-0.6154602485,-0.3411170978,2.5902788241,-0.5144040445,-1.0946794287,-0.932098099,39.8132570338,8.5875818751
135,LS 8,,3,9,2014,si,-41.423,-71.569,1002,4,E,90,forest,30,2,1,0.1,10,0,4,10,2,10,0,4,2,285321.269323438,5411098.8236147,-71.569,-41.423,-1.3161181358,-0.7133466354,1004004,16,-1.2149492473,-0.6411188869,-0.3411170978,0.0800367052,-0.5868109785,-0.9330772024,0.9930787006,25.0732085816,16.5338392416
136,LS 9,,4,9,2014,si,-41.3861,-71.5587,909,5,SE,100,matorral,60,1,4,0.8,5,0,5,1,NA,NA,0,10,0,286060.97307229,5415221.38202246,-71.5587,-41.3861,-1.7068797181,-0.6178462127,826281,25,-1.490958306,-0.6154602485,-0.3411170978,-0.4847677715,-0.1523693742,-1.0946794287,0.7875068948,20.9908372511,22.0682368756
137,lshir1,28/08/14,28,8,2014,,-41.3637,-71.58795,1095,20,N,5,matorral,50,2,NA,NA,20,3,10,15,1,10,0,50,2,283540.795576663,5417635.80604221,-71.58795,-41.3637,-0.9253565535,0.8146601273,1199025,400,-0.9120758847,0.4536496853,-0.3411170978,0.3938169701,2.7439079875,-0.9330772024,0.701570364,16.511854091,-15.877805664
138,lshir2 ,28/08/14,28,8,2014,,-41.3650666667,-71.5890666667,1167,10,NO,270,matorral,70,1,NA,NA,5,5,4,15,0,0,2,5,3,283451.922561177,5417481.27296106,-71.5890666667,-41.3650666667,-0.6228314576,-0.1403440994,1361889,100,-0.6591432911,-0.4016382617,-0.2077625383,0.3938169701,-0.5144040445,-0.8522760892,0.1386364441,33.0551241789,-0.1555802469
139,lshir3,29/08/14,29,8,2014,,-41.3658333333,-71.5890333333,1225,20,NO,330,matorral,50,1,NA,NA,5,1,10,5,3,20,3,10,2,283457.254531921,5417396.23245643,-71.5890333333,-41.3658333333,-0.3791306859,0.8146601273,1500625,400,-0.4436821928,0.4536496853,-0.1410852586,-0.2337435596,-0.1523693742,-0.9330772024,0.0835126835,44.0322884808,22.6363428448
140,lshirt4,29/08/14,29,8,2014,,-41.3677833333,-71.5892,1379,15,NO,280,matorral,20,1,NA,NA,12,1,20,15,0,0,40,15,2,283449.784113913,5417179.30518347,-71.5892,-41.3677833333,0.2679368805,0.3371580139,1901641,225,0.179107478,-0.0452682838,2.3259740919,0.3938169701,0.209665296,-0.9330772024,0.6778916389,-0.2395209981,-22.9653934009
141,lshirt5,29/08/14,29,8,2014,,-41.3696,-71.5863,1431,10,SE,220,forest,10,0,NA,0,8,2,0,0,10,15,0,5,2,283698.371063976,5416984.84394963,-71.5863,-41.3696,0.4864272275,-0.1403440994,2047761,100,0.406036146,-0.4016382617,-0.3411170978,-0.5475238245,-0.5144040445,-0.9330772024,0.9773903018,-22.5261295048,-13.7270107758
142,lshirt6,29/08/14,29,8,2014,,-41.3681388889,-71.5881111111,1432,5,NO,330,matorral,80,2,NA,NA,7,2,15,50,0,0,5,10,2,283542.041653878,5417142.54885159,-71.5881111111,-41.3681388889,0.490628965,-0.6178462127,2050624,25,0.4104824694,-0.6154602485,-0.0077306991,2.5902788241,-0.1523693742,-0.9330772024,0.7351384272,10.9846839367,-7.1464374898
143,lshirt7,29/08/14,29,8,2014,,-41.3682,-71.5890666667,1397,10,NO,320,matorral,70,0,NA,0,12,1,5,1,10,15,1,0,20,283462.319099691,5417133.3755055,-71.5890666667,-41.3682,0.3435681545,-0.1403440994,1951609,100,0.2567092552,-0.4016382617,-0.2744398181,-0.4847677715,-0.8764387147,0.5213428345,0.6513375072,24.5288435696,26.7304216435
144,LSRI 11,,5,9,2014,,-41.4076,-71.5608,1014,5,SW,260,forest,70,3,3,0.2727272727,11,1,2,15,1,10,0,5,5,285955.972557744,5412829.01982866,-71.5608,-41.4076,-1.2656972865,-0.6178462127,1028196,25,-1.1773783581,-0.6154602485,-0.3411170978,0.3938169701,-0.5144040445,-0.6906738629,0.3775622294,30.6014258444,19.414530006
145,LSRI 12,,5,9,2014,,-41.4074,-71.5591,1049,5,SW,220,quemado,30,2,3,0.4285714286,7,7,2,15,5,10,0,10,2,286097.42228672,5412855.42838427,-71.5591,-41.4074,-1.1186364759,-0.6178462127,1100401,25,-1.0652418643,-0.6154602485,-0.3411170978,0.3938169701,-0.1523693742,-0.9330772024,0.6564115291,39.5098326424,11.1266847033
146,MIL 1,06/12/14,6,12,2014,si,-41.387,-71.5819,1186,3,NE,,forest,60,2,2,0.1818181818,11,2,8,10,2,25,0,30,3,284123.978194972,5415063.87839057,-71.5819,-41.387,-0.5429984462,-0.8088470581,1406596,9,-0.589712002,-0.6610756057,-0.3411170978,0.0800367052,1.2957693066,-0.8522760892,,,
147,MIL 10,07/12/14,7,12,2014,,-41.3688,-71.5582,915,15,,,matorral,60,1,4,0.4,10,1,15,1,4,30,0,8,20,286046.053840432,5417143.45220867,-71.5582,-41.3688,-1.6816692934,0.3371580139,837225,225,-1.4739619514,-0.0452682838,-0.3411170978,-0.4847677715,-0.2971832423,0.5213428345,,,
148,MIL 2,06/12/14,6,12,2014,,-41.3872,-71.5839,1238,5,NE,,quemado,70,3,2,NA,NA,1,3,30,5,1.2,0,10,1,283957.403709632,5415036.68432808,-71.5839,-41.3872,-0.3245080991,-0.6178462127,1532644,25,-0.3939557418,-0.6154602485,-0.3411170978,1.3351577647,-0.1523693742,-1.0138783156,,,
149,MIL 3,06/12/14,6,12,2014,,-41.3846,-71.5835,1218,10,NE,,forest,60,1,4,NA,NA,0,0,0,30,1.2,0,20,30,283982.239371034,5415326.36367844,-71.5835,-41.3846,-0.408542848,-0.1403440994,1483524,100,-0.47024055,-0.4016382617,-0.3411170978,-0.5475238245,0.5716999662,1.3293539661,,,
150,MIL 4,06/12/14,6,12,2014,,-41.3838,-71.5828,1215,5,NE,,quemado,50,3,0,NA,NA,2,8,1,10,1,0,30,5,284038.12556486,5415416.93459973,-71.5828,-41.3838,-0.4211480603,-0.6178462127,1476225,25,-0.4815761122,-0.6154602485,-0.3411170978,-0.4847677715,1.2957693066,-0.6906738629,,,
151,MIL 5,07/12/14,7,12,2014,,-41.3629,-71.5603,856,2,NE,20,forest,65,2,2,NA,NA,1,0,0,0,0,0,10,10,285851.047995314,5417793.3450353,-71.5603,-41.3629,-1.9295718026,-0.9043474807,732736,4,-1.6362364489,-0.6753304048,-0.3411170978,-0.5475238245,-0.1523693742,-0.2866682971,,,
152,MIL 6,07/12/14,7,12,2014,,-41.3641,-71.5599,876,10,NE,50,forest,60,1,2,NA,NA,0,20,1,10,50,0,10,30,285888.444183184,5417661.09678979,-71.5599,-41.3641,-1.8455370537,-0.1403440994,767376,100,-1.5824395077,-0.4016382617,-0.3411170978,-0.4847677715,-0.1523693742,1.3293539661,,,
153,MIL 7,07/12/14,7,12,2014,,-41.3658,-71.56,900,20,W,270,matorral,60,1,1,NA,NA,1,15,2,0,0,0,30,6,285885.65647049,5417472.09736202,-71.56,-41.3658,-1.7446953551,0.8146601273,810000,400,-1.516243179,0.4536496853,-0.3411170978,-0.4220117185,1.2957693066,-0.6098727498,,,
154,MIL 8,07/12/14,7,12,2014,,-41.3662,-71.5595,911,1,E,80,forest,50,1,1,NA,NA,3,20,1,5,30,0,5,4,285928.791262588,5417428.92069243,-71.5595,-41.3662,-1.6984762432,-0.9998479034,829921,1,-1.4853052787,-0.6838832843,-0.3411170978,-0.4847677715,-0.5144040445,-0.7714749761,,,
155,MIL 9,07/12/14,7,12,2014,,-41.368,-71.5584,920,3,SE,120,matorral,70,1,4,0.3076923077,13,2,0,0,0,0,0,3,10,286026.702467711,5417231.78286024,-71.5584,-41.368,-1.6606606062,-0.8088470581,846400,9,-1.4597129059,-0.6610756057,-0.3411170978,-0.5475238245,-0.6592179126,-0.2866682971,,,
169,N1,28/08/14,28,8,2014,,-41.3649833333,-71.5892,1159,25,NO,340,matorral,70,1,NA,NA,9,0,8,3,3,30,0,8,5,283440.493157166,5417490.19226811,-71.5892,-41.3649833333,-0.6564453571,1.2921622406,1343281,625,-0.6880420637,1.0951156456,-0.3411170978,-0.3592556656,-0.2971832423,-0.6906738629,0.7055165908,-27.1953513957,-10.3438891744
170,N2,28/08/14,28,8,2014,,-41.3651666667,-71.5887333333,1198,20,NO,320,matorral,90,0,NA,0,NA,0,0,0,0,0,8,3,20,283480.136561455,5417471.00300457,-71.5887333333,-41.3651666667,-0.4925775968,0.8146601273,1435204,400,-0.5452829346,0.4536496853,0.1923011401,-0.5475238245,-0.6592179126,0.5213428345,1.087471768,15.3112107836,22.8084837667
171,N3,,26,1,2014,,-41.4235,-71.5478,1700,30,W,280,forest,50,0,NA,0,NA,0,NA,0,3,15,6,2,30,287094.63161831,5411095.68446895,-71.5478,-41.4235,1.6166945999,1.7696643539,2890000,900,1.7140581441,1.879129597,0.0589465806,-0.5475238245,-0.7316248466,1.3293539661,1.0368215217,33.2381928983,2.6422805443
172,N4,29/08/14,29,8,2014,,-41.3693055556,-71.5858333333,1430,20,E,E,matorral,60,0,NA,0,NA,0,15,10,30,50,0,10,30,283736.427667946,5417018.70159514,-71.5858333333,-41.3693055556,0.4822254901,0.8146601273,2044900,400,0.4015929286,0.4536496853,-0.3411170978,0.0800367052,-0.1523693742,1.3293539661,0.9937096256,19.1168886585,8.1227699607
173,N5,29/08/14,29,8,2014,,-41.3919444444,-71.6377777778,1440,2,NE,50,mallin,70,2,NA,NA,NA,1,10,30,0,0,0,15,20,279468.271182935,5414374.0776922,-71.6377777778,-41.3919444444,0.5242428645,-0.9043474807,2073600,4,0.4461648748,-0.6753304048,-0.3411170978,1.3351577647,0.209665296,0.5213428345,0.7292041718,-20.7291384899,-17.1784108572
174,N6,29/08/14,29,8,2014,,-41.3702222222,-71.5913055556,1364,5,O,275,quemado,40,2,NA,NA,NA,0,5,5,30,40,0,30,10,283281.768326705,5416903.24695029,-71.5913055556,-41.3702222222,0.2049108188,-0.6178462127,1860496,25,0.11520808,-0.6154602485,-0.3411170978,-0.2337435596,1.2957693066,-0.2866682971,0.9668623403,15.2342484244,-8.1521217773
175,N7,29/08/14,29,8,2014,,-41.3717222222,-71.5920277778,1369,1,NO,340,quemado,80,3,NA,NA,NA,2,1,20,10,60,0,3,0,283226.34476414,5416734.89300983,-71.5920277778,-41.3717222222,0.225919506,-0.9998479034,1874161,1,0.1364302279,-0.6838832843,-0.3411170978,0.7075972349,-0.6592179126,-1.0946794287,1.2087172582,12.0985118186,-1.4069154041
176,N8,05/09/14,5,9,2014,,-41.4072222222,-71.5578611111,1092,20,O,O,matorral,40,0,NA,0,NA,0,10,3,0,0,45,5,30,286200.400403749,5412878.22797884,-71.5578611111,-41.4072222222,-0.9379617659,0.8146601273,1192464,400,-0.9222653111,0.4536496853,2.6593604906,-0.3592556656,-0.5144040445,1.3293539661,1.1406812355,20.6414207887,-0.6496436471
177,N9,,26,1,2014,,-41.419,-71.5624,1057,5,W,286,forest,85,1,1,NA,NA,0,3,1,NA,NA,0,10,3,285859.695884276,5411559.30274349,-71.5624,-41.419,-1.0850225764,-0.6178462127,1117249,25,-1.0390764236,-0.6154602485,-0.3411170978,-0.4847677715,-0.1523693742,-0.8522760892,1.0767557342,26.4092454941,-9.5615289079
178,NF 1,,2,3,2013,,-41.4229,-71.5686,991,0,,,abierto,65,2,4,NA,NA,2,20,5,NA,NA,0,35,30,285354.368638994,5411110.91905119,-71.5686,-41.4229,-1.3623372477,-1.0953483261,982081,0,-1.2489963127,-0.6867342441,-0.3411170978,-0.2337435596,1.6578039768,1.3293539661,,,
179,NF 2,,3,3,2013,,-41.4036,-71.5505,1305,15,NW,,forest,70,1,1,NA,NA,0,NA,0,1,20,0,20,15,286803.88413271,5413298.5629596,-71.5505,-41.4036,-0.0429916904,0.3371580139,1703025,225,-0.1293490256,-0.0452682838,-0.3411170978,-0.5475238245,0.5716999662,0.1173372687,,,
180,NF 3,,3,3,2013,,-41.4062,-71.5408,1618,20,SW,230,forest,80,0,NA,0,7,0,NA,0,NA,NA,0,20,30,287623.246273384,5413033.72504172,-71.5408,-41.4062,1.2721521295,0.8146601273,2617924,400,1.2915160947,0.4536496853,-0.3411170978,-0.5475238245,0.5716999662,1.3293539661,,,
181,NF 4,,3,3,2013,,-41.4059,-71.5406,1640,25,SW,,forest,90,0,NA,0,8,0,NA,0,1,30,0,8,30,287638.987457483,5413067.52505465,-71.5406,-41.4059,1.3645903533,1.2921622406,2689600,625,1.4028310358,1.0951156456,-0.3411170978,-0.5475238245,-0.2971832423,1.3293539661,,,
182,NF 5,,3,3,2013,,-41.4058,-71.5411,1632,20,SW,,quemado,30,1,0,0,5,0,5,5,10,30,0,60,30,287596.864606493,5413077.40145518,-71.5411,-41.4058,1.3309764537,0.8146601273,2663424,400,1.3621789361,0.4536496853,-0.3411170978,-0.2337435596,3.4679773279,1.3293539661,,,
183,NF 6,,3,3,2013,,-41.4066,-71.5398,1622,40,s ,,alto_andino,10,0,NA,0,8,0,2,3,NA,NA,70,30,30,287708.142736398,5412991.76547765,-71.5398,-41.4066,1.2889590793,2.7246685806,2630884,1600,1.3116433568,3.8748014734,4.3262924842,-0.3592556656,1.2957693066,1.3293539661,,,
184,NF 7,,3,3,2013,,-41.408,-71.5399,1580,20,W,,forest,75,0,3,0,8,0,NA,0,3,30,0,15,30,287704.344043148,5412836.07656059,-71.5399,-41.408,1.1124861066,0.8146601273,2496400,400,1.1027857399,0.4536496853,-0.3411170978,-0.5475238245,0.209665296,1.3293539661,0.4671238422,-45.0850692325,-8.7299655165
185,NiPi 11,,26,2,2014,,-41.3945,-71.5935,1463,1,SE,140,abierto,70,3,1,0.1428571429,7,3,6,40,NA,NA,0,25,20,283178.942917248,5414202.15892069,-71.5935,-41.3945,0.6208828257,-0.9998479034,2140369,1,0.5498591003,-0.6838832843,-0.3411170978,1.9627182944,0.9337346364,0.5213428345,-0.8980270218,19.0732871225,-26.0447976786
186,NiPi 12,,27,2,2014,,-41.4404,-71.5737,1042,0,,,abierto,70,1,2,0.3333333333,6,1,8,40,NA,NA,0,20,30,284985.945335822,5409155.1972078,-71.5737,-41.4404,-1.1480486381,-1.0953483261,1085764,0,-1.0879735569,-0.6867342441,-0.3411170978,1.9627182944,0.5716999662,1.3293539661,0.1375666598,8.792100204,-28.0846882777
187,NiPi 13,,27,2,2014,,-41.4396,-71.5738,1038,0,,,abierto,80,1,0,0,6,0,8,50,NA,NA,0,25,30,284974.947732595,5409243.77429942,-71.5738,-41.4396,-1.1648555878,-1.0953483261,1077444,0,-1.1008947622,-0.6867342441,-0.3411170978,2.5902788241,0.9337346364,1.3293539661,-1.0050894439,9.0108497578,-29.7142476459
